species,abundance,extent,niche_breadth,range_size,habitat,abun_meas,rabin_class,mean_topo,mean_d_coast,mean_elev,num_patches,patch_isolation,occupied_area,rcp,change_driver,year,current_cells,nd_future_cells,current_km2,nd_future_km2,nd_change_prop,exposure,log10_patch_isolation,log10_num_patches,ext_res,abun_res,niche_res,nump_res,iso_res,topo_res,elev_res,dc_res,OTU,Genus,Species
Adenostoma sparsifolium,506.9897147,31451.73186,3.400002076,w,r,l,w-r-l,0.439662129,56.2658211,1092.430274,32,642.3338981,4747.1751,rcp45,climate_change,2085,44719.1502020649,29089.0190780079,3260.02604973053,2120.58949078678,-0.349517623958231,0.349517623958231,2.80776084178572,1.50514997831991,0.32100520886231,-0.199631177073348,0.348753414920355,0.344502474637132,0.126668159546682,0.141200081036717,-0.0179350777121075,0.072487667179799,Adenostoma,Adenostoma,sparsifolium
Keckiella antirrhinoides,264.4964156,34934.51912,3.068821822,w,r,l,w-r-l,0.455969465,47.54468168,585.3365011,290,787.3947494,9469.5642,rcp45,climate_change,2085,59415.8276740495,34775.9963372207,4331.41383743821,2535.17013298339,-0.41470147436136,0.41470147436136,2.89619251444937,2.46239799789896,-0.371780896062788,-0.690885096333095,-0.327247435805109,-0.456459782474889,-0.515992780484038,-0.676635719938996,-0.608288833387955,-0.604350182514565,Keckiella_3,Keckiella,antirrhinoides
Rhus integrifolia,409.4985358,34958.01751,4.21751141,w,b,l,w-b-l,0.383400554,11.29317944,181.3713135,400,1487.445969,1198.1844,rcp45,climate_change,2085,22205.7585929894,21827.1668042185,1618.79980142893,1591.20046002753,-0.0170492616672165,0.0170492616672165,3.17244119907868,2.60205999132796,-0.198350061099338,-0.543782300829116,-0.12510669449041,-0.218772499033211,-0.349876912855588,-0.151629534752215,-0.269941893925022,-0.36076776499825,Rhus_2,Rhus,integrifolia
Chamaebatia foliolosa,435.4031706,37821.62325,5.137436711,w,b,l,w-b-l,0.617306596,201.0102052,1437.799772,22,2386.635401,16695.8496,rcp45,climate_change,2085,87548.2298718843,80986.6353686955,6382.26595766037,5903.9257183779,-0.0749483400497182,0.0749483400497182,3.37778607823256,1.34242268082221,-0.839456872718108,-1.26066468875954,-1.0604545761673,-0.673371135047164,-0.962801100130284,-1.34323226490262,-1.45444296437958,-1.29777063045629,Chamaebatia,Chamaebatia,foliolosa
Opuntia littoralis,266.2470537,39764.51901,4.051461445,w,b,l,w-b-l,0.333168016,17.82975939,203.5673595,1185,1038.450338,3895.6302,rcp45,climate_change,2085,36795.5969984018,30827.0028926696,2682.39902118349,2247.28851087561,-0.16220946506158,0.16220946506158,3.01638573202348,3.07371835034612,-1.51454223274184,-1.77963837713479,-1.62917026777332,-2.30316632369157,-1.55330695602831,-1.49659167049587,-1.15780310071144,-1.46607718647323,Opuntia,Opuntia,littoralis
Eriodictyon trichocalyx,146.4402892,51919.14546,4.650911699,w,b,s,w-b-s,0.529649355,72.61071525,1143.472159,99,2794.265879,14789.2959,rcp45,climate_change,2085,61648.8773150554,52261.2494316975,4494.20315626753,3809.84508357075,-0.152275731403552,0.152275731403552,3.44626772757946,1.99563519459755,0.377844656192058,0.257448661123643,0.448505125833067,0.3979842758785,0.19907703249347,0.166440173414588,0.247048649810987,0.236894916163966,Nama_1,Eriodictyon,trichocalyx
Ceanothus tomentosus,355.2796202,52500.30691,4.598708935,w,b,l,w-b-l,0.485191188,47.68265139,455.9214206,315,799.938245,5142.2202,rcp45,climate_change,2085,21655.1651586621,10666.0591890723,1578.66154006647,777.555714883373,-0.507458885170133,0.507458885170133,2.90305646087826,2.4983105537896,0.395913992117637,0.00725642279938664,0.301839511922727,0.381099737091839,0.221980331979601,0.119563693278348,0.209104163215091,0.180348484816949,Ceanothus_Ceanothus,Ceanothus,tomentosus
Pinus balfouriana,1056.057854,60678.89822,2.583022831,w,r,l,w-r-l,0.693693829,240.7733927,3082.505715,16,7310.158691,3955.1166,rcp45,climate_change,2085,27259.5326217935,8044.63568143734,1987.21992812874,586.453941176781,-0.704887248323334,0.704887248323334,3.86392680484809,1.20411998265592,0.348709495638066,0.146380702151765,0.492167572365772,0.615548250915483,-0.052879686677627,-0.44934612321857,1.09841328437615,0.0847371969382937,Pinus_Balfournianae,Pinus,balfouriana
Encelia californica,502.5073009,64991.31228,3.917738562,w,r,l,w-r-l,0.409034103,11.91615057,231.7555815,1683,909.9282843,3218.7537,rcp45,climate_change,2085,21916.2496911527,28485.5261075535,1597.69460248504,2076.59485324065,0.299744550686181,-0.299744550686181,2.9590071648924,3.22608411597582,-0.765429686282484,-1.00858892764082,-0.532686519633156,-0.851061600675374,-0.733206993026579,-0.611918811187769,-0.686976658470892,-0.802554074879273,Encelia_2,Encelia,californica
Sequoia sempervirens,423.8080054,74176.83613,4.20891078,w,b,l,w-b-l,0.487754983,11.77449848,274.4302924,426,904.4123672,18977.2551,rcp45,climate_change,2085,167522.961933464,166870.190802059,12212.4239249495,12164.8369094701,-0.00389660691210175,0.00389660691210175,2.95636649238406,2.62940959910272,0.228670605389169,-0.0456534359051048,0.406564133398974,0.268036681719962,0.108743192516423,0.185326794948295,0.117026253768296,0.0472753723174531,Sequoia,Sequoia,sempervirens
